# Conversion log for project 'AxonIvyExpress' from version 93700 to 93900
# Created on 10.03.2022 12:06:21
10.03.2022 12:06:21 : Info      : Upgrade persistence.xml from 1.0 to 2.2
10.03.2022 12:06:22 : Info      : Move testusers.userconfig to config/users.xml
10.03.2022 12:06:22 : Info      : Move roles.roleconfig to config/roles.xml
10.03.2022 12:06:22 : Info      : Move overrides.overrideconfig to config/overrides.any
10.03.2022 12:06:22 : Info      : Move src/META-INF/persistence.xml to config/persistence.xml
10.03.2022 12:06:22 : Info      : Remove webContent/META-INF/MANIFEST.MF
10.03.2022 12:06:22 : Info      : Remove webContent/WEB-INF/faces-config.xml
10.03.2022 12:06:22 : Info      : Convert config/overrides.any to UTF-8
10.03.2022 12:06:22 : New Task  : Store process MOD files in latest version 9.3.1
10.03.2022 12:06:22 : New Task  : Update project version to actual version 93900.
10.03.2022 12:06:22 : New Task  : Finished conversion of project AxonIvyExpress.
